"","study","studySub","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","size1mm_rand","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"107","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"108","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"109","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"110","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"111","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"112","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"113","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"114","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"115","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"116","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"117","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"118","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"119","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"120","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"121","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"122","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"123","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"124","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
"125","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,28.22,28.22,NA,NA,27.987,-112.03,NA,"","",1930
